DocType: HSPOS Offer,Min Quantity,Quantidade Minima
DocType: HSPOS Closing Shift Detail,Mode of Payment,Modo de Pagamento
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_closing_shift/closing_shift_details.html,Mode of Payments,Modo de Pagamentos
DocType: HSPOS Closing Shift,Modes of Payment,Modos de Pagamento
DocType: HSPOS Closing Shift,Net Total,Total Liquido
DocType: HSPOS Offer Detail,Offer,Oferta
DocType: HSPOS Offer Detail,Offer Applied,Oferta Aplicada
DocType: HSPOS Offer Detail,Offer Name,Nome da Oferta
DocType: HSPOS Opening Shift,Open,Aberto
DocType: HSPOS Closing Shift Detail,Opening Amount,Valor de Abertura
DocType: HSPOS Opening Shift,Opening Balance Details,Detalhes de Balanço de Abertura
,HIGHSPEED POS,HIGHSPEED POS
Custom Field - label: POS Profile-hspos_highspeed_pos_advance_settings,HIGHSPEED POS Advance Settings,Configurações Avançadas do HIGHSPEED POS
Custom Field - label: POS Profile-hspos_highspeed_pos_settings,HIGHSPEED POS Settings,Configurações HIGHSPEED POS
DocType: HSPOS Closing Shift,HSPOS Closing Shift,POS Fecho de Turno
DocType: HSPOS Closing Shift Detail,HSPOS Closing Shift Detail,POS Detalhes de Fecho de Turno
DocType: HSPOS Closing Shift Taxes,HSPOS Closing Shift Taxes,POS Impostos de Fecho de Turno
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_closing_shift/hspos_closing_shift.py,HSPOS Closing Shift {} against {} between selected period,POS Fecho de Turno {} contra {} entre os periodos selecionados
DocType: HSPOS Offer,HSPOS Offer,POS Oferta
DocType: HSPOS Offer Detail,HSPOS Offer Detail,POS Detalhe de Oferta
Custom Field - label: Sales Invoice Item-hspos_offers,HSPOS Offers,POS Ofertas
Custom Field - label: Sales Invoice-hspos_offers,HSPOS Offers Detail,POS Detalhes de Ofertas
DocType: HSPOS Closing Shift,HSPOS Opening Shift,POS Abertura de Turno
DocType: HSPOS Opening Shift Detail,HSPOS Opening Shift Detail,POS Detalhes de Abertura de Turno
DocType: HSPOS Closing Shift,POS Profile,POS Perfil
apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_opening_shift/hspos_opening_shift.py,POS Profile {} does not belongs to company {},POS Perfil {} não pertence a empresa {}
